Seafloor Age,Trench Absolute Orthogonal,Trench Absolute Parallel,Convergence Orthogonal,Convergence Parallel,subduction volume,sediment thickness,ocean crust carbon percent,Label
8.36,-1.05,-1.36,4.38,-1.82,0.03,393.55,1.71,0
6.71,-1.05,-1.36,4.31,-1.86,0.02,384.55,1.65,0
6.41,-1.06,-1.37,4.24,-1.9,0.02,371.06,1.63,0
4.59,-1.27,-1.17,4.55,-1.65,0.02,313.67,1.34,0
3.16,-3.22,0.6,7.95,0.92,0.03,304.97,1.44,0
2.6,-3.23,0.6,7.85,0.76,0.03,328.22,1.38,0
3.11,-2.61,0.54,7.62,0.59,0.03,317.95,1.42,0
1.02,-2.62,0.53,7.62,0.51,0.02,310.67,1.12,0
0.24,-2.62,0.53,20.45,-15.73,0.02,300.96,0.59,0
0.39,-2.63,0.53,21.63,-15.06,0.03,113.7,0.84,0
0.81,-2.63,0.52,22.14,-14.94,0.04,102.79,1.03,0
4.27,-2.44,0.44,20.95,-13.64,0.09,275.27,1.46,0
6.23,-0.72,-0.24,9.26,-2.94,0.05,268.39,1.56,0
6.36,-0.72,-0.24,9.09,-3.53,0.05,260.95,1.56,0
6.63,-0.72,-0.24,9.07,-3.51,0.05,252.13,1.56,0
6.85,-0.73,-0.24,9.05,-3.49,0.05,246.2,1.56,0
7.02,-3.68,-1.29,9.02,-3.47,0.05,239.25,1.56,0
7.42,-3.68,-1.31,11.44,-2.03,0.07,489.97,1.57,0
6.06,-3.68,-1.32,12.45,-1.43,0.07,368.77,1.52,0
6.41,-3.68,-1.34,12.44,-1.39,0.07,343.85,1.53,0
13.33,-3.67,-1.35,12.42,-1.36,0.1,487.73,1.85,0
15.13,-3.67,-1.36,11.92,-1.96,0.1,494.48,1.91,0
15.58,-3.67,-1.38,11.9,-1.94,0.1,473.01,1.96,0
14.57,-3.16,-2.16,13.59,-3.28,0.11,347.08,1.94,0
53.18,-1.97,-3.97,17.43,-6.18,0.28,1345.89,2.2,0
52.3,-1.96,-3.99,17.43,-6.15,0.27,1357.39,2.2,0
52.13,-2.32,-2.5,17.43,-6.13,0.27,1393.07,2.23,0
65.44,-2.32,-2.52,17.65,-6.67,0.31,1402.47,2.47,0
63.63,-2.31,-2.54,17.67,-6.73,0.3,1393.02,2.46,0
68.59,-2.3,-2.55,15.05,-3.16,0.27,1307.62,2.53,0
67.3,-2.3,-2.57,11.16,2.33,0.2,1311.23,2.52,0
67.46,-2.29,-2.59,11.15,2.45,0.2,1317.31,2.54,0
67.67,-2.28,-2.6,11.73,1.79,0.21,1328.9,2.55,0
67.07,-2.27,-2.62,11.97,1.56,0.21,1367.3,2.55,0
67.35,-2.26,-2.64,11.95,1.64,0.21,1394.37,2.56,0
66.79,-2.26,-2.66,11.99,1.77,0.21,1374.08,2.56,0
